secao_code,divisao_code,grupo_code,classe_code,subclasse_code,desc,secao_desc,divisao_desc,grupo_desc,classe_desc,div_int,div_label,grp_label,cls_label
B,05,05.0,05.00-3,0500-3/01,Extração de carvão mineral,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE CARVÃO MINERAL,Extração de carvão mineral,Extração de carvão mineral,5.0,05 - EXTRAÇÃO DE CARVÃO MINERAL,05.0 - Extração de carvão mineral,05.00-3 - Extração de carvão mineral
B,05,05.0,05.00-3,0500-3/02,Beneficiamento de carvão mineral,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE CARVÃO MINERAL,Extração de carvão mineral,Extração de carvão mineral,5.0,05 - EXTRAÇÃO DE CARVÃO MINERAL,05.0 - Extração de carvão mineral,05.00-3 - Extração de carvão mineral
B,06,06.0,06.00-0,0600-0/01,Extração de petróleo e gás natural,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Extração de petróleo e gás natural,Extração de petróleo e gás natural,6.0,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,06.0 - Extração de petróleo e gás natural,06.00-0 - Extração de petróleo e gás natural
B,06,06.0,06.00-0,0600-0/02,Extração e beneficiamento de xisto,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Extração de petróleo e gás natural,Extração de petróleo e gás natural,6.0,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,06.0 - Extração de petróleo e gás natural,06.00-0 - Extração de petróleo e gás natural
B,06,06.0,06.00-0,0600-0/03,Extração e beneficiamento de areias betuminosas,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,Extração de petróleo e gás natural,Extração de petróleo e gás natural,6.0,06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,06.0 - Extração de petróleo e gás natural,06.00-0 - Extração de petróleo e gás natural
B,07,07.1,07.10-3,0710-3/01,Extração de minério de ferro,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minério de ferro,Extração de minério de ferro,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.1 - Extração de minério de ferro,07.10-3 - Extração de minério de ferro
B,07,07.1,07.10-3,0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minério de ferro,Extração de minério de ferro,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.1 - Extração de minério de ferro,07.10-3 - Extração de minério de ferro
B,07,07.2,07.21-9,0721-9/01,Extração de minério de alumínio,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minério de alumínio,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.21-9 - Extração de minério de alumínio
B,07,07.2,07.21-9,0721-9/02,Beneficiamento de minério de alumínio,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minério de alumínio,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.21-9 - Extração de minério de alumínio
B,07,07.2,07.22-7,0722-7/01,Extração de minério de estanho,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minério de estanho,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.22-7 - Extração de minério de estanho
B,07,07.2,07.22-7,0722-7/02,Beneficiamento de minério de estanho,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minério de estanho,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.22-7 - Extração de minério de estanho
B,07,07.2,07.23-5,0723-5/01,Extração de minério de manganês,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minério de manganês,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.23-5 - Extração de minério de manganês
B,07,07.2,07.23-5,0723-5/02,Beneficiamento de minério de manganês,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minério de manganês,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.23-5 - Extração de minério de manganês
B,07,07.2,07.24-3,0724-3/01,Extração de minério de metais preciosos,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minério de metais preciosos,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.24-3 - Extração de minério de metais preciosos
B,07,07.2,07.24-3,0724-3/02,Beneficiamento de minério de metais preciosos,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minério de metais preciosos,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.24-3 - Extração de minério de metais preciosos
B,07,07.2,07.25-1,0725-1/00,Extração de minerais radioativos,INDÚSTRIAS EXTRATIVAS,EXTRAÇÃO DE MINERAIS METÁLICOS,Extração de minerais metálicos não ferrosos,Extração de minerais radioativos,7.0,07 - EXTRAÇÃO DE MINERAIS METÁLICOS,07.2 - Extração de minerais metálicos não ferrosos,07.25-1 - Extração de minerais radioativos
